episode,score,avg_100,best_score,epsilon,avg_loss,buffer_size,elapsed_s
119,0,0.14,1,0.942222,0.149065,1840,12.5
120,0,0.14,1,0.94175,0.202151,1844,12.6
121,0,0.14,1,0.94128,0.181107,1849,12.6
122,0,0.14,1,0.940809,0.196332,1860,12.8
123,0,0.14,1,0.940338,0.119651,1868,12.9
124,0,0.14,1,0.939868,0.176606,1876,13.0
125,0,0.14,1,0.939398,0.160977,1919,13.5
126,0,0.13,1,0.938929,0.152893,1934,13.7
127,0,0.13,1,0.938459,0.19514,1951,13.9
128,0,0.12,1,0.93799,0.205598,1955,14.0
129,0,0.12,1,0.937521,0.170997,1959,14.0
130,0,0.12,1,0.937052,0.163859,1971,14.2
131,1,0.13,1,0.936584,0.180126,1989,14.4
132,0,0.12,1,0.936115,0.157557,1998,14.5
133,1,0.13,1,0.935647,0.257266,2053,15.3
134,0,0.13,1,0.93518,0.194836,2060,15.3
135,0,0.12,1,0.934712,0.20618,2066,15.4
136,0,0.12,1,0.934245,0.166878,2088,15.7
137,0,0.11,1,0.933777,0.170991,2097,15.8
138,1,0.12,1,0.933311,0.165742,2119,16.1
139,0,0.12,1,0.932844,0.148552,2134,16.3
140,0,0.12,1,0.932377,0.135251,2146,16.5
141,0,0.12,1,0.931911,0.126738,2175,16.9
142,0,0.12,1,0.931445,0.133608,2210,17.4
143,0,0.12,1,0.93098,0.141684,2223,17.6
144,0,0.12,1,0.930514,0.092934,2231,17.7
145,1,0.13,1,0.930049,0.148894,2276,18.3
146,0,0.13,1,0.929584,0.129893,2283,18.4
147,1,0.14,1,0.929119,0.125167,2295,18.5
148,0,0.14,1,0.928655,0.147163,2299,18.6
149,0,0.14,1,0.92819,0.156086,2302,18.6
150,0,0.14,1,0.927726,0.12988,2312,18.8
151,0,0.13,1,0.927262,0.179015,2320,18.9
152,0,0.13,1,0.926799,0.133109,2334,19.0
153,0,0.13,1,0.926335,0.155217,2337,19.1
154,0,0.13,1,0.925872,0.13001,2342,19.1
155,0,0.13,1,0.925409,0.095419,2347,19.2
156,0,0.13,1,0.924946,0.13362,2351,19.3
157,0,0.12,1,0.924484,0.129928,2372,19.6
158,0,0.12,1,0.924022,0.18169,2390,19.8
159,0,0.12,1,0.92356,0.153304,2399,19.9
160,0,0.12,1,0.923098,0.134229,2415,20.2
161,0,0.12,1,0.922636,0.147848,2430,20.4
162,1,0.13,1,0.922175,0.148809,2468,20.8
163,0,0.13,1,0.921714,0.119795,2486,21.0
